length,var,seasonality,trend,id,category,rupt_l2_last_cp,num_cp,cp_con_rupt_L2,PELT_execution_time,cp_con_pyomo,pyomo_execution_time,distance_from_end
136,2091722.4773582825,0.6280101580612033,5.237000477076474,N2747,DEMOGRAPHIC ,5.0,1.0,[5],0.022009849548339844,[3],7.289470672607422,131.0
76,15100292.265235452,0.39220718278806693,130.39480519480523,N2758,DEMOGRAPHIC ,40.0,1.0,[40],0.013968706130981445,[40],1.4957606792449951,36.0
76,3508675.2719875346,0.3951086183626047,62.98035543403967,N2756,DEMOGRAPHIC ,40.0,2.0,"[5, 40]",0.014444828033447266,"[3, 38]",1.540862798690796,36.0
148,1349004.2712846736,0.8021921470437822,25.99538028852027,N2524,FINANCE     ,80.0,2.0,"[45, 80]",0.036963462829589844,"[46, 79]",8.849641799926758,68.0
138,3776654.988851081,0.8062938759457089,27.644053161152453,N2577,FINANCE     ,75.0,2.0,"[15, 75]",0.05766153335571289,"[14, 74]",7.194087743759155,63.0
148,13229283.122209072,0.818982749794971,83.49740881478654,N2525,FINANCE     ,105.0,3.0,"[50, 80, 105]",0.02830028533935547,"[49, 78, 104]",8.711281061172485,43.0
138,9687970.244328916,0.8676230901012576,10.417597245592926,N1906,INDUSTRY    ,5.0,1.0,[5],0.04481101036071777,[7],7.096212148666382,133.0
148,3776802.9760317756,0.7815662702124994,15.127455698404884,N2146,INDUSTRY    ,80.0,4.0,"[5, 15, 20, 80]",0.016754627227783203,"[7, 14, 18, 66]",9.511836051940918,68.0
148,7614357.950830896,0.7625429321397565,60.33820802037484,N1893,INDUSTRY    ,100.0,2.0,"[75, 100]",0.030724048614501953,"[75, 106]",9.794864177703857,48.0
138,2315554.110691031,0.6953582414938764,28.570411585679086,N2340,MACRO       ,90.0,3.0,"[5, 60, 90]",0.015433788299560547,"[3, 55, 89]",7.17766809463501,48.0
73,25465927.541377362,0.32055793153484907,166.5527273849192,N2506,MACRO       ,25.0,2.0,"[5, 25]",0.006708860397338867,"[3, 24]",1.3822247982025146,48.0
124,3878287.972164411,0.6961955883971843,53.49586782061369,N2502,MACRO       ,90.0,2.0,"[45, 90]",0.011540412902832031,"[47, 88]",5.214820861816406,34.0
130,7683298.960710058,0.6081985373264924,59.77394201750675,N1832,MICRO       ,70.0,2.0,"[35, 70]",0.026182889938354492,"[35, 70]",6.91194748878479,60.0
130,1944516.4731360937,0.6641324145719644,-12.239413347171206,N1715,MICRO       ,75.0,6.0,"[5, 35, 40, 45, 50, 75]",0.024440288543701172,"[6, 26, 32, 37, 45, 50]",6.426764249801636,55.0
130,4222165.660591714,0.6854893832891995,47.68379740266835,N1837,MICRO       ,100.0,2.0,"[70, 100]",0.012842416763305664,"[76, 102]",6.496175289154053,30.0
100,6848129.5304000005,0.6841837731673756,16.912103210321032,N2788,OTHER       ,5.0,1.0,[5],0.008165597915649414,[5],2.8886568546295166,95.0
100,6415114.829599996,0.6817572891091496,12.484140414041413,N2789,OTHER       ,5.0,1.0,[5],0.008136272430419922,[4],3.0002830028533936,95.0
75,2294345.4298062236,0.08905440402049994,26.045217638691305,N2803,OTHER       ,5.0,1.0,[5],0.01007223129272461,[3],1.531095266342163,70.0
