length,var,seasonality,trend,id,category,rupt_l2_last_cp,num_cp,cp_con_rupt_L2,PELT_execution_time,cp_con_pyomo,pyomo_execution_time
75,81802701.19439998,0.7494146234195591,23.518520625889057,N2752,DEMOGRAPHIC ,,0.0,[],0.044237613677978516,[],1.7279868125915527
136,2091722.4773582825,0.6280101580612033,5.237000477076474,N2747,DEMOGRAPHIC ,5.0,1.0,[5],0.022009849548339844,[3],7.289470672607422
138,6282001.665826506,0.5927818440259885,35.36297030290715,N2738,DEMOGRAPHIC ,120.0,4.0,"[5, 10, 100, 120]",0.012940645217895508,"[3, 7, 98, 115]",7.217377185821533
76,15100292.265235452,0.39220718278806693,130.39480519480523,N2758,DEMOGRAPHIC ,40.0,1.0,[40],0.013968706130981445,[40],1.4957606792449951
76,3508675.2719875346,0.3951086183626047,62.98035543403967,N2756,DEMOGRAPHIC ,40.0,2.0,"[5, 40]",0.014444828033447266,"[3, 38]",1.540862798690796
148,13229283.122209072,0.818982749794971,83.49740881478654,N2525,FINANCE     ,105.0,3.0,"[50, 80, 105]",0.02830028533935547,"[49, 78, 104]",8.711281061172485
138,3776654.988851081,0.8062938759457089,27.644053161152453,N2577,FINANCE     ,75.0,2.0,"[15, 75]",0.05766153335571289,"[14, 74]",7.194087743759155
148,1349004.2712846736,0.8021921470437822,25.99538028852027,N2524,FINANCE     ,80.0,2.0,"[45, 80]",0.036963462829589844,"[46, 79]",8.849641799926758
73,45483426.2750985,0.46451703817111467,310.63090830556575,N2666,FINANCE     ,60.0,3.0,"[5, 45, 60]",0.004543781280517578,"[3, 43, 56]",1.4087245464324951
73,12724786.88525052,0.434852529149669,164.7308250030853,N2663,FINANCE     ,60.0,3.0,"[5, 40, 60]",0.012563705444335938,"[3, 37, 58]",1.28432035446167
138,9687970.244328916,0.8676230901012576,10.417597245592926,N1906,INDUSTRY    ,5.0,1.0,[5],0.04481101036071777,[7],7.096212148666382
148,3776802.9760317756,0.7815662702124994,15.127455698404884,N2146,INDUSTRY    ,80.0,4.0,"[5, 15, 20, 80]",0.016754627227783203,"[7, 14, 18, 66]",9.511836051940918
148,7614357.950830896,0.7625429321397565,60.33820802037484,N1893,INDUSTRY    ,100.0,2.0,"[75, 100]",0.030724048614501953,"[75, 106]",9.794864177703857
148,113976235.1341764,0.16078884955717446,94.5299736800216,N2105,INDUSTRY    ,130.0,4.0,"[25, 90, 105, 130]",0.009152412414550781,"[24, 89, 106, 126]",9.245397806167603
148,39825177.51876369,0.12348686200239546,78.89335596382578,N1986,INDUSTRY    ,140.0,7.0,"[15, 30, 50, 70, 95, 120, 140]",0.010462760925292969,"[13, 31, 50, 76, 87, 119, 137]",10.247329950332642
136,2845655.908304498,0.7156908570151436,41.1267783025619,N2495,MACRO       ,115.0,3.0,"[55, 90, 115]",0.014526844024658203,"[54, 89, 113]",6.523114442825317
124,3878287.972164411,0.6961955883971843,53.49586782061369,N2502,MACRO       ,90.0,2.0,"[45, 90]",0.011540412902832031,"[47, 88]",5.214820861816406
138,2315554.110691031,0.6953582414938764,28.570411585679086,N2340,MACRO       ,90.0,3.0,"[5, 60, 90]",0.015433788299560547,"[3, 55, 89]",7.17766809463501
88,24079120.9767562,0.5868143592700058,189.75777535134372,N2473,MACRO       ,70.0,3.0,"[5, 35, 70]",0.012813568115234375,"[3, 36, 69]",1.9883077144622803
73,25465927.541377362,0.32055793153484907,166.5527273849192,N2506,MACRO       ,25.0,2.0,"[5, 25]",0.006708860397338867,"[3, 24]",1.3822247982025146
130,4222165.660591714,0.6854893832891995,47.68379740266835,N1837,MICRO       ,100.0,2.0,"[70, 100]",0.012842416763305664,"[76, 102]",6.496175289154053
130,1944516.4731360937,0.6641324145719644,-12.239413347171206,N1715,MICRO       ,75.0,6.0,"[5, 35, 40, 45, 50, 75]",0.024440288543701172,"[6, 26, 32, 37, 45, 50]",6.426764249801636
130,7683298.960710058,0.6081985373264924,59.77394201750675,N1832,MICRO       ,70.0,2.0,"[35, 70]",0.026182889938354492,"[35, 70]",6.91194748878479
73,17968735.31506849,0.41406528028815676,184.02267678637543,N1488,MICRO       ,60.0,2.0,"[40, 60]",0.0027277469635009766,"[40, 58]",1.3038079738616943
73,7407335.615312445,0.44045050409476916,117.71235961989385,N1555,MICRO       ,50.0,2.0,"[25, 50]",0.030259132385253906,"[25, 58]",1.1960456371307373
100,6118910.099999992,0.6950996539073192,17.613933393339337,N2790,OTHER       ,85.0,3.0,"[5, 80, 85]",0.01336359977722168,"[4, 79, 84]",3.0366432666778564
100,6848129.5304000005,0.6841837731673756,16.912103210321032,N2788,OTHER       ,5.0,1.0,[5],0.008165597915649414,[5],2.8886568546295166
100,6415114.829599996,0.6817572891091496,12.484140414041413,N2789,OTHER       ,5.0,1.0,[5],0.008136272430419922,[4],3.0002830028533936
75,3250593.5063395537,0.3524182963704383,56.61381223328592,N2806,OTHER       ,65.0,3.0,"[5, 35, 65]",0.004009723663330078,"[3, 34, 64]",1.4461359977722168
75,2294345.4298062236,0.08905440402049994,26.045217638691305,N2803,OTHER       ,5.0,1.0,[5],0.01007223129272461,[3],1.531095266342163
